Comparing to baseline with opponent black model: never 
|     | Policy                                                               | Black Model   |   Mean VP |   Difference (Policy - Baseline) |   Difference Std. Error |
|  85 | Chip Prioritisation - Buy only ['O', 'G', 'P', 'Y']                  | random        |   29.568  |                        -5.25267  |                0.143776 |
|  86 | Chip Prioritisation - Buy only ['BK', 'BL', 'R', 'Y']                | random        |   29.4817 |                        -5.339    |                0.150382 |
|  87 | Chip Prioritisation - Buy only ['BK', 'BL']                          | random        |   29.443  |                        -5.37767  |                0.147807 |
|  88 | Chip Prioritisation - Buy only ['O', 'P', 'Y']                       | random        |   29.302  |                        -5.51867  |                0.142534 |
|  89 | Chip Prioritisation - Buy only ['BK', 'R', 'P', 'Y']                 | random        |   29.292  |                        -5.52867  |                0.145464 |
|  90 | Chip Prioritisation - Buy only ['O', 'BK', 'P', 'Y']                 | random        |   29.2723 |                        -5.54833  |                0.150928 |
|  91 | Chip Prioritisation - Buy only ['BK', 'R', 'P']                      | random        |   29.079  |                        -5.74167  |                0.144039 |
|  92 | Chip Prioritisation - Buy only ['R', 'G']                            | random        |   28.789  |                        -6.03167  |                0.148031 |
|  93 | Chip Prioritisation - Buy only ['R', 'G', 'Y']                       | random        |   28.746  |                        -6.07467  |                0.149372 |
|  94 | Chip Prioritisation - Buy only ['R', 'P']                            | random        |   28.524  |                        -6.29667  |                0.141093 |
|  95 | Chip Prioritisation - Buy only ['O', 'BK', 'G', 'P']                 | random        |   28.47   |                        -6.35067  |                0.146487 |
|  96 | Chip Prioritisation - Buy only ['BK', 'G', 'P', 'Y']                 | random        |   28.4053 |                        -6.41533  |                0.149814 |
|  97 | Chip Prioritisation - Buy only ['R', 'G', 'P']                       | random        |   28.381  |                        -6.43967  |                0.140031 |
|  98 | Chip Prioritisation - Buy only ['R', 'Y']                            | random        |   28.317  |                        -6.50367  |                0.144848 |
|  99 | Chip Prioritisation - Buy only ['BK', 'R', 'G', 'Y']                 | random        |   28.268  |                        -6.55267  |                0.1463   |
| 100 | Chip Prioritisation - Buy only ['R']                                 | random        |   28.2093 |                        -6.61133  |                0.14508  |
| 101 | Chip Prioritisation - Buy only ['O', 'BK', 'P']                      | random        |   28.1143 |                        -6.70633  |                0.145406 |
| 102 | Chip Prioritisation - Buy only ['G', 'P', 'Y']                       | random        |   27.9753 |                        -6.84533  |                0.139525 |
| 103 | Chip Prioritisation - Buy only ['O', 'G', 'Y']                       | random        |   27.9493 |                        -6.87133  |                0.143845 |
| 104 | Chip Prioritisation - Buy only ['P', 'Y']                            | random        |   27.943  |                        -6.87767  |                0.137684 |
| 105 | Chip Prioritisation - Buy only ['BK', 'R', 'Y']                      | random        |   27.829  |                        -6.99167  |                0.142987 |
| 106 | Chip Prioritisation - Buy only ['BK', 'P', 'Y']                      | random        |   27.8283 |                        -6.99233  |                0.144019 |
| 107 | Chip Prioritisation - Buy only ['O', 'BK', 'G', 'Y']                 | random        |   27.819  |                        -7.00167  |                0.151322 |
| 108 | Chip Prioritisation - Buy only ['BK', 'R', 'G']                      | random        |   27.5563 |                        -7.26433  |                0.146462 |
| 109 | Chip Prioritisation - Buy only ['BK', 'G', 'P']                      | random        |   27.4717 |                        -7.349    |                0.144088 |
| 110 | Chip Prioritisation - Buy only ['O', 'G', 'P']                       | random        |   27.2397 |                        -7.581    |                0.137626 |
| 111 | Chip Prioritisation - Buy only ['O', 'P']                            | random        |   27.1377 |                        -7.683    |                0.136687 |
| 112 | Chip Prioritisation - Buy only ['O', 'BK', 'Y']                      | random        |   27.0863 |                        -7.73433  |                0.146533 |
| 113 | Chip Prioritisation - Buy only ['BK', 'P']                           | random        |   27.0113 |                        -7.80933  |                0.139339 |
| 114 | Chip Prioritisation - Buy only ['BK', 'R']                           | random        |   26.8783 |                        -7.94233  |                0.14162  |
| 115 | Chip Prioritisation - Buy only ['P']                                 | random        |   26.8303 |                        -7.99033  |                0.135974 |
| 116 | Chip Prioritisation - Buy only ['O', 'BK', 'G']                      | random        |   26.8257 |                        -7.995    |                0.152896 |
| 117 | Chip Prioritisation - Buy only ['O', 'Y']                            | random        |   26.6517 |                        -8.169    |                0.137627 |
| 118 | Chip Prioritisation - Buy only ['O']                                 | random        |   26.592  |                        -8.22867  |                0.129079 |
| 119 | Chip Prioritisation - Buy only ['BK', 'G', 'Y']                      | random        |   26.585  |                        -8.23567  |                0.147078 |
| 120 | Chip Prioritisation - Buy only ['G', 'P']                            | random        |   26.317  |                        -8.50367  |                0.134643 |
| 121 | Chip Prioritisation - Buy only ['G', 'Y']                            | random        |   26.166  |                        -8.65467  |                0.139807 |
| 122 | Chip Prioritisation - Buy only ['Y']                                 | random        |   25.97   |                        -8.85067  |                0.137832 |
| 123 | Chip Prioritisation - Buy only ['BK', 'Y']                           | random        |   25.8427 |                        -8.978    |                0.141046 |
| 124 | Chip Prioritisation - Buy only ['BK', 'G']                           | random        |   25.6387 |                        -9.182    |                0.148611 |
| 125 | Chip Prioritisation - Buy only ['O', 'BK']                           | random        |   25.205  |                        -9.61567  |                0.14483  |
| 126 | Chip Prioritisation - Buy only ['BK']                                | random        |   23.877  |                       -10.9437   |                0.13868  |
Comparing to baseline with opponent black model: mirror 
|     | Policy                                                               | Black Model   |   Mean VP |   Difference (Policy - Baseline) |   Difference Std. Error |
|----:|:---------------------------------------------------------------------|:--------------|----------:|---------------------------------:|------------------------:|
|   0 | Chip Prioritisation - Buy only ['O', 'BL', 'R', 'P']                 | mirror        |   36.3517 |                         1.363    |                0.177847 |
|   1 | Chip Prioritisation - Buy only ['O', 'BL', 'R', 'G', 'P']            | mirror        |   35.811  |                         0.822333 |                0.170764 |
|   2 | Chip Prioritisation - Buy only ['O', 'BL', 'R']                      | mirror        |   35.729  |                         0.740333 |                0.184032 |
|   3 | Chip Prioritisation - Buy only ['O', 'BL', 'P', 'Y']                 | mirror        |   35.1313 |                         0.142667 |                0.157343 |
|   4 | Chip Prioritisation - Buy only ['O', 'BL', 'G', 'P', 'Y']            | mirror        |   34.8107 |                        -0.178    |                0.156237 |
|   5 | Chip Prioritisation - Buy only ['O', 'BL', 'R', 'P', 'Y']            | mirror        |   34.6147 |                        -0.374    |                0.16712  |
|   6 | Chip Prioritisation - Buy only ['O', 'BL', 'R', 'G', 'P', 'Y']       | mirror        |   34.5407 |                        -0.448    |                0.171047 |
|   7 | Chip Prioritisation - Buy only ['O', 'BL', 'R', 'G']                 | mirror        |   34.3247 |                        -0.664    |                0.174766 |
|   8 | Chip Prioritisation - Buy only ['O', 'BL', 'G']                      | mirror        |   33.947  |                        -1.04167  |                0.159035 |
|   9 | Chip Prioritisation - Buy only ['BL', 'R', 'P']                      | mirror        |   33.7    |                        -1.28867  |                0.169783 |
|  10 | Chip Prioritisation - Buy only ['O', 'BL', 'R', 'Y']                 | mirror        |   33.6273 |                        -1.36133  |                0.172249 |
|  11 | Chip Prioritisation - Buy only ['O', 'BL', 'R', 'G', 'Y']            | mirror        |   33.444  |                        -1.54467  |                0.1668   |
|  12 | Chip Prioritisation - Buy only ['O', 'BL']                           | mirror        |   33.3873 |                        -1.60133  |                0.147301 |
|  13 | Chip Prioritisation - Buy only ['O', 'BL', 'P']                      | mirror        |   33.3383 |                        -1.65033  |                0.15093  |
|  14 | Chip Prioritisation - Buy only ['O', 'R', 'G', 'P', 'Y']             | mirror        |   33.2087 |                        -1.78     |                0.158688 |
|  15 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'R', 'P']           | mirror        |   33.1637 |                        -1.825    |                0.160635 |
|  16 | Chip Prioritisation - Buy only ['O', 'R', 'P', 'Y']                  | mirror        |   33.149  |                        -1.83967  |                0.158103 |
|  17 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'R', 'G', 'P']      | mirror        |   33.034  |                        -1.95467  |                0.161097 |
|  18 | Chip Prioritisation - Buy only ['BL', 'R', 'G', 'P']                 | mirror        |   32.9623 |                        -2.02633  |                0.163557 |
|  19 | Chip Prioritisation - Buy only ['O', 'BL', 'Y']                      | mirror        |   32.86   |                        -2.12867  |                0.155152 |
|  20 | Chip Prioritisation - Buy only ['O', 'BL', 'G', 'Y']                 | mirror        |   32.8283 |                        -2.16033  |                0.157679 |
|  21 | Chip Prioritisation - Buy only ['BL', 'G', 'P', 'Y']                 | mirror        |   32.7733 |                        -2.21533  |                0.158139 |
|  22 | Chip Prioritisation - Buy only ['BL', 'P', 'Y']                      | mirror        |   32.603  |                        -2.38567  |                0.156934 |
|  23 | Chip Prioritisation - Buy only ['O', 'R', 'G']                       | mirror        |   32.574  |                        -2.41467  |                0.162838 |
|  24 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'R', 'P', 'Y']      | mirror        |   32.4477 |                        -2.541    |                0.161116 |
|  25 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'R', 'G', 'P', 'Y'] | mirror        |   32.4257 |                        -2.563    |                0.162893 |
|  26 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'G', 'P', 'Y']      | mirror        |   32.3143 |                        -2.67433  |                0.151585 |
|  27 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'G', 'P']           | mirror        |   32.307  |                        -2.68167  |                0.150797 |
|  28 | Chip Prioritisation - Buy only ['O', 'R']                            | mirror        |   32.2843 |                        -2.70433  |                0.162436 |
|  29 | Chip Prioritisation - Buy only ['O', 'BL', 'G', 'P']                 | mirror        |   32.2627 |                        -2.726    |                0.150454 |
|  30 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'P']                | mirror        |   32.17   |                        -2.81867  |                0.150375 |
|  31 | Chip Prioritisation - Buy only ['O', 'R', 'G', 'Y']                  | mirror        |   32.0333 |                        -2.95533  |                0.160002 |
|  32 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'P', 'Y']           | mirror        |   31.8093 |                        -3.17933  |                0.150337 |
|  33 | Chip Prioritisation - Buy only ['BL', 'R', 'P', 'Y']                 | mirror        |   31.7883 |                        -3.20033  |                0.15918  |
|  34 | Chip Prioritisation - Buy only ['O', 'R', 'Y']                       | mirror        |   31.723  |                        -3.26567  |                0.160789 |
|  35 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'R']                | mirror        |   31.6877 |                        -3.301    |                0.160368 |
|  36 | Chip Prioritisation - Buy only ['BL', 'R', 'G', 'P', 'Y']            | mirror        |   31.6597 |                        -3.329    |                0.158906 |
|  37 | Chip Prioritisation - Buy only ['BL', 'P']                           | mirror        |   31.541  |                        -3.44767  |                0.149527 |
|  38 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'R', 'G', 'Y']      | mirror        |   31.4867 |                        -3.502    |                0.161636 |
|  39 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'R', 'Y']           | mirror        |   31.4687 |                        -3.52     |                0.160971 |
|  40 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'R', 'G']           | mirror        |   31.375  |                        -3.61367  |                0.160533 |
|  41 | Chip Prioritisation - Buy only ['BL']                                | mirror        |   31.2777 |                        -3.711    |                0.145083 |
|  42 | Chip Prioritisation - Buy only ['BL', 'R']                           | mirror        |   31.2173 |                        -3.77133  |                0.163267 |
|  43 | Chip Prioritisation - Buy only ['O', 'R', 'P']                       | mirror        |   31.094  |                        -3.89467  |                0.149669 |
|  44 | Chip Prioritisation - Buy only ['BL', 'G']                           | mirror        |   31.0083 |                        -3.98033  |                0.155078 |
|  45 | Chip Prioritisation - Buy only ['BL', 'R', 'G']                      | mirror        |   30.9657 |                        -4.023    |                0.163462 |
|  46 | Chip Prioritisation - Buy only ['O', 'R', 'G', 'P']                  | mirror        |   30.9517 |                        -4.037    |                0.15173  |
|  47 | Chip Prioritisation - Buy only ['O', 'BK', 'R', 'G', 'P', 'Y']       | mirror        |   30.8703 |                        -4.11833  |                0.152689 |
|  48 | Chip Prioritisation - Buy only ['O', 'BK', 'R', 'G', 'P']            | mirror        |   30.7787 |                        -4.21     |                0.153271 |
|  49 | Chip Prioritisation - Buy only ['BL', 'G', 'Y']                      | mirror        |   30.6857 |                        -4.303    |                0.157521 |
|  50 | Chip Prioritisation - Buy only ['O', 'BK', 'R', 'P', 'Y']            | mirror        |   30.488  |                        -4.50067  |                0.150922 |
|  51 | Chip Prioritisation - Buy only ['BK', 'BL', 'R', 'G', 'P']           | mirror        |   30.407  |                        -4.58167  |                0.154932 |
|  52 | Chip Prioritisation - Buy only ['BK', 'BL', 'G', 'P', 'Y']           | mirror        |   30.3627 |                        -4.626    |                0.151563 |
|  53 | Chip Prioritisation - Buy only ['BL', 'R', 'G', 'Y']                 | mirror        |   30.3193 |                        -4.66933  |                0.158462 |
|  54 | Chip Prioritisation - Buy only ['R', 'G', 'P', 'Y']                  | mirror        |   30.3173 |                        -4.67133  |                0.151599 |
|  55 | Chip Prioritisation - Buy only ['BL', 'R', 'Y']                      | mirror        |   30.317  |                        -4.67167  |                0.159174 |
|  56 | Chip Prioritisation - Buy only ['BL', 'G', 'P']                      | mirror        |   30.2843 |                        -4.70433  |                0.149995 |
|  57 | Chip Prioritisation - Buy only ['BK', 'BL', 'R', 'P']                | mirror        |   30.2283 |                        -4.76033  |                0.153484 |
|  58 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'G', 'Y']           | mirror        |   30.2107 |                        -4.778    |                0.149524 |
|  59 | Chip Prioritisation - Buy only ['O', 'G']                            | mirror        |   30.197  |                        -4.79167  |                0.147347 |
|  60 | Chip Prioritisation - Buy only ['O', 'BK', 'R', 'P']                 | mirror        |   30.166  |                        -4.82267  |                0.151235 |
|  61 | Chip Prioritisation - Buy only ['R', 'P', 'Y']                       | mirror        |   30.1033 |                        -4.88533  |                0.150111 |
|  62 | Chip Prioritisation - Buy only ['BK', 'BL', 'R', 'G', 'P', 'Y']      | mirror        |   30.0717 |                        -4.917    |                0.153703 |
|  63 | Chip Prioritisation - Buy only ['BK', 'BL', 'P', 'Y']                | mirror        |   30.0047 |                        -4.984    |                0.149262 |
|  64 | Chip Prioritisation - Buy only ['BK', 'BL', 'R', 'P', 'Y']           | mirror        |   29.9837 |                        -5.005    |                0.153454 |
|  65 | Chip Prioritisation - Buy only ['G']                                 | mirror        |   29.9747 |                        -5.014    |                0.153071 |
|  66 | Chip Prioritisation - Buy only ['BK', 'BL', 'P']                     | mirror        |   29.907  |                        -5.08167  |                0.148615 |
|  67 | Chip Prioritisation - Buy only ['BL', 'Y']                           | mirror        |   29.8837 |                        -5.105    |                0.150235 |
|  68 | Chip Prioritisation - Buy only ['BK', 'BL', 'G', 'P']                | mirror        |   29.8153 |                        -5.17333  |                0.150476 |
|  69 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'Y']                | mirror        |   29.749  |                        -5.23967  |                0.147583 |
|  70 | Chip Prioritisation - Buy only ['O', 'BK', 'BL', 'G']                | mirror        |   29.6617 |                        -5.327    |                0.150063 |
|  71 | Chip Prioritisation - Buy only ['O', 'G', 'P', 'Y']                  | mirror        |   29.529  |                        -5.45967  |                0.147597 |
|  72 | Chip Prioritisation - Buy only ['O', 'BK', 'R', 'G', 'Y']            | mirror        |   29.4687 |                        -5.52     |                0.152285 |
|  73 | Chip Prioritisation - Buy only ['O', 'P', 'Y']                       | mirror        |   29.241  |                        -5.74767  |                0.146269 |
|  74 | Chip Prioritisation - Buy only ['O', 'BK', 'BL']                     | mirror        |   29.166  |                        -5.82267  |                0.144527 |
|  75 | Chip Prioritisation - Buy only ['BK', 'BL', 'R', 'G', 'Y']           | mirror        |   28.856  |                        -6.13267  |                0.151577 |
|  76 | Chip Prioritisation - Buy only ['O', 'BK', 'R', 'Y']                 | mirror        |   28.848  |                        -6.14067  |                0.148285 |
|  77 | Chip Prioritisation - Buy only ['R', 'G', 'Y']                       | mirror        |   28.7823 |                        -6.20633  |                0.153292 |
|  78 | Chip Prioritisation - Buy only ['R', 'G']                            | mirror        |   28.6753 |                        -6.31333  |                0.150896 |
|  79 | Chip Prioritisation - Buy only ['BK', 'BL', 'R', 'Y']                | mirror        |   28.6493 |                        -6.33933  |                0.150769 |
|  80 | Chip Prioritisation - Buy only ['O', 'BK', 'R', 'G']                 | mirror        |   28.6467 |                        -6.342    |                0.152638 |
|  81 | Chip Prioritisation - Buy only ['R', 'P']                            | mirror        |   28.4873 |                        -6.50133  |                0.14425  |
|  82 | Chip Prioritisation - Buy only ['BK', 'BL', 'G', 'Y']                | mirror        |   28.475  |                        -6.51367  |                0.150393 |
|  83 | Chip Prioritisation - Buy only ['BK', 'R', 'G', 'P', 'Y']            | mirror        |   28.468  |                        -6.52067  |                0.147067 |
|  84 | Chip Prioritisation - Buy only ['BK', 'BL', 'R', 'G']                | mirror        |   28.3817 |                        -6.607    |                0.152975 |
|  85 | Chip Prioritisation - Buy only ['R']                                 | mirror        |   28.3167 |                        -6.672    |                0.150349 |
|  86 | Chip Prioritisation - Buy only ['R', 'Y']                            | mirror        |   28.247  |                        -6.74167  |                0.147147 |
|  87 | Chip Prioritisation - Buy only ['R', 'G', 'P']                       | mirror        |   28.217  |                        -6.77167  |                0.144823 |
|  88 | Chip Prioritisation - Buy only ['BK', 'R', 'P', 'Y']                 | mirror        |   28.166  |                        -6.82267  |                0.143942 |
|  89 | Chip Prioritisation - Buy only ['BK', 'BL', 'R']                     | mirror        |   28.06   |                        -6.92867  |                0.1504   |
|  90 | Chip Prioritisation - Buy only ['BK', 'R', 'G', 'P']                 | mirror        |   27.9243 |                        -7.06433  |                0.144748 |
|  91 | Chip Prioritisation - Buy only ['G', 'P', 'Y']                       | mirror        |   27.8923 |                        -7.09633  |                0.142284 |
|  92 | Chip Prioritisation - Buy only ['O', 'G', 'Y']                       | mirror        |   27.8577 |                        -7.131    |                0.14651  |
|  93 | Chip Prioritisation - Buy only ['O', 'BK', 'R']                      | mirror        |   27.7823 |                        -7.20633  |                0.14853  |
|  94 | Chip Prioritisation - Buy only ['O', 'BK', 'G', 'P', 'Y']            | mirror        |   27.7693 |                        -7.21933  |                0.149492 |
|  95 | Chip Prioritisation - Buy only ['P', 'Y']                            | mirror        |   27.7513 |                        -7.23733  |                0.141909 |
|  96 | Chip Prioritisation - Buy only ['BK', 'BL', 'Y']                     | mirror        |   27.544  |                        -7.44467  |                0.14574  |
|  97 | Chip Prioritisation - Buy only ['BK', 'R', 'P']                      | mirror        |   27.3197 |                        -7.669    |                0.139917 |
|  98 | Chip Prioritisation - Buy only ['BK', 'BL', 'G']                     | mirror        |   27.3073 |                        -7.68133  |                0.147981 |
|  99 | Chip Prioritisation - Buy only ['O', 'G', 'P']                       | mirror        |   27.204  |                        -7.78467  |                0.140939 |
| 100 | Chip Prioritisation - Buy only ['O', 'BK', 'P', 'Y']                 | mirror        |   27.1793 |                        -7.80933  |                0.147176 |
| 101 | Chip Prioritisation - Buy only ['BK', 'R', 'G', 'Y']                 | mirror        |   27.0183 |                        -7.97033  |                0.146176 |
| 102 | Chip Prioritisation - Buy only ['O', 'P']                            | mirror        |   26.9917 |                        -7.997    |                0.140848 |
| 103 | Chip Prioritisation - Buy only ['P']                                 | mirror        |   26.9183 |                        -8.07033  |                0.13946  |
| 104 | Chip Prioritisation - Buy only ['O', 'Y']                            | mirror        |   26.7773 |                        -8.21133  |                0.141248 |
| 105 | Chip Prioritisation - Buy only ['O', 'BK', 'G', 'P']                 | mirror        |   26.6797 |                        -8.309    |                0.143173 |
| 106 | Chip Prioritisation - Buy only ['O']                                 | mirror        |   26.53   |                        -8.45867  |                0.132816 |
| 107 | Chip Prioritisation - Buy only ['BK', 'BL']                          | mirror        |   26.4787 |                        -8.51     |                0.141386 |
| 108 | Chip Prioritisation - Buy only ['G', 'P']                            | mirror        |   26.423  |                        -8.56567  |                0.139115 |
| 109 | Chip Prioritisation - Buy only ['BK', 'G', 'P', 'Y']                 | mirror        |   26.414  |                        -8.57467  |                0.144625 |
| 110 | Chip Prioritisation - Buy only ['BK', 'R', 'Y']                      | mirror        |   26.2793 |                        -8.70933  |                0.142442 |
| 111 | Chip Prioritisation - Buy only ['G', 'Y']                            | mirror        |   26.266  |                        -8.72267  |                0.142671 |
| 112 | Chip Prioritisation - Buy only ['O', 'BK', 'P']                      | mirror        |   26.0477 |                        -8.941    |                0.141258 |
| 113 | Chip Prioritisation - Buy only ['Y']                                 | mirror        |   25.8707 |                        -9.118    |                0.140575 |
| 114 | Chip Prioritisation - Buy only ['O', 'BK', 'G', 'Y']                 | mirror        |   25.8487 |                        -9.14     |                0.145202 |
| 115 | Chip Prioritisation - Buy only ['BK', 'P', 'Y']                      | mirror        |   25.8273 |                        -9.16133  |                0.140476 |
| 116 | Chip Prioritisation - Buy only ['BK', 'R', 'G']                      | mirror        |   25.7017 |                        -9.287    |                0.14504  |
| 117 | Chip Prioritisation - Buy only ['BK', 'G', 'P']                      | mirror        |   25.4723 |                        -9.51633  |                0.139273 |
| 118 | Chip Prioritisation - Buy only ['O', 'BK', 'Y']                      | mirror        |   24.939  |                       -10.0497   |                0.14065  |
| 119 | Chip Prioritisation - Buy only ['BK', 'P']                           | mirror        |   24.8963 |                       -10.0923   |                0.136899 |
| 120 | Chip Prioritisation - Buy only ['BK', 'G', 'Y']                      | mirror        |   24.727  |                       -10.2617   |                0.142411 |
| 121 | Chip Prioritisation - Buy only ['BK', 'R']                           | mirror        |   24.675  |                       -10.3137   |                0.138871 |
| 122 | Chip Prioritisation - Buy only ['O', 'BK', 'G']                      | mirror        |   24.6713 |                       -10.3173   |                0.144662 |
| 123 | Chip Prioritisation - Buy only ['BK', 'Y']                           | mirror        |   23.7993 |                       -11.1893   |                0.137018 |
| 124 | Chip Prioritisation - Buy only ['BK', 'G']                           | mirror        |   23.2373 |                       -11.7513   |                0.14124  |
| 125 | Chip Prioritisation - Buy only ['O', 'BK']                           | mirror        |   22.8763 |                       -12.1123   |                0.137329 |
| 126 | Chip Prioritisation - Buy only ['BK']                                | mirror        |   20.7377 |                       -14.251    |                0.132027 |
