Comparing to baseline with opponent black model: never 
|     | Policy                                                               | Black Model   |   Mean VP |   Difference (Policy - Baseline) |   Difference Std. Error |
|  46 | Chip Prioritisation - Buy only ['O', 'R', 'G', 'P', 'Y']             | never         |   33.2883 |                       -1.47833   |                0.154971 |
|  47 | Chip Prioritisation - Buy only ['O', 'BL', 'P']                      | never         |   33.164  |                       -1.60267   |                0.146151 |
|  48 | Chip Prioritisation - Buy only ['BK', 'BL']                          | never         |   33.0477 |                       -1.719     |                0.154688 |
|  49 | Chip Prioritisation - Buy only ['O', 'BK', 'R', 'Y']                 | never         |   32.9873 |                       -1.77933   |                0.160637 |
|  50 | Chip Prioritisation - Buy only ['BL', 'R', 'G', 'P']                 | never         |   32.9397 |                       -1.827     |                0.159582 |
|  51 | Chip Prioritisation - Buy only ['O', 'BL', 'G', 'Y']                 | never         |   32.8913 |                       -1.87533   |                0.153765 |
|  52 | Chip Prioritisation - Buy only ['O', 'BK', 'R']                      | never         |   32.849  |                       -1.91767   |                0.162291 |
|  53 | Chip Prioritisation - Buy only ['BK', 'R', 'G', 'P']                 | never         |   32.8413 |                       -1.92533   |                0.159183 |
|  54 | Chip Prioritisation - Buy only ['O', 'BK', 'P', 'Y']                 | never         |   32.7517 |                       -2.015     |                0.16525  |
|  55 | Chip Prioritisation - Buy only ['BL', 'G', 'P', 'Y']                 | never         |   32.6947 |                       -2.072     |                0.153118 |
|  56 | Chip Prioritisation - Buy only ['BL', 'P', 'Y']                      | never         |   32.686  |                       -2.08067   |                0.151291 |
|  57 | Chip Prioritisation - Buy only ['BK', 'BL', 'R', 'P', 'Y']           | never         |   32.676  |                       -2.09067   |                0.161558 |
|  58 | Chip Prioritisation - Buy only ['O', 'R', 'G']                       | never         |   32.6743 |                       -2.09233   |                0.160457 |
|  59 | Chip Prioritisation - Buy only ['O', 'BL', 'Y']                      | never         |   32.6623 |                       -2.10433   |                0.149377 |
|  60 | Chip Prioritisation - Buy only ['BK', 'R', 'G', 'P', 'Y']            | never         |   32.6617 |                       -2.105     |                0.157501 |
|  61 | Chip Prioritisation - Buy only ['BK', 'BL', 'R', 'G', 'P', 'Y']      | never         |   32.5513 |                       -2.21533   |                0.160474 |
|  62 | Chip Prioritisation - Buy only ['O', 'BL', 'G', 'P']                 | never         |   32.479  |                       -2.28767   |                0.146066 |
|  63 | Chip Prioritisation - Buy only ['O', 'R']                            | never         |   32.166  |                       -2.60067   |                0.159483 |
|  64 | Chip Prioritisation - Buy only ['BK', 'BL', 'R', 'G']                | never         |   32.1603 |                       -2.60633   |                0.164691 |
|  65 | Chip Prioritisation - Buy only ['BK', 'R', 'P', 'Y']                 | never         |   32.1023 |                       -2.66433   |                0.153446 |
|  66 | Chip Prioritisation - Buy only ['BK', 'R', 'P']                      | never         |   32.0263 |                       -2.74033   |                0.152453 |
|  67 | Chip Prioritisation - Buy only ['BK', 'G', 'P', 'Y']                 | never         |   32.026  |                       -2.74067   |                0.164584 |
|  68 | Chip Prioritisation - Buy only ['O', 'BK', 'G', 'P']                 | never         |   31.9523 |                       -2.81433   |                0.161077 |
|  69 | Chip Prioritisation - Buy only ['O', 'R', 'G', 'Y']                  | never         |   31.924  |                       -2.84267   |                0.155789 |
|  70 | Chip Prioritisation - Buy only ['BK', 'BL', 'R']                     | never         |   31.8873 |                       -2.87933   |                0.163329 |
|  71 | Chip Prioritisation - Buy only ['BL', 'R', 'G', 'P', 'Y']            | never         |   31.757  |                       -3.00967   |                0.155601 |
|  72 | Chip Prioritisation - Buy only ['BL', 'R', 'P', 'Y']                 | never         |   31.6857 |                       -3.081     |                0.155553 |
|  73 | Chip Prioritisation - Buy only ['O', 'BK', 'G', 'Y']                 | never         |   31.6797 |                       -3.087     |                0.166238 |
|  74 | Chip Prioritisation - Buy only ['BL', 'P']                           | never         |   31.6537 |                       -3.113     |                0.145282 |
|  75 | Chip Prioritisation - Buy only ['O', 'R', 'Y']                       | never         |   31.6283 |                       -3.13833   |                0.155523 |
